STUDY_ID,PROFILE_ID,NAME,DESCRIPTION,DATATYPE
dlbc_tcga,dlbc_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
dlbc_tcga,dlbc_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
blca_tcga_pub_2017,blca_tcga_pub_2017_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
blca_tcga_pub_2017,blca_tcga_pub_2017_rna_seq_v2_mrna_median_Zscores,mRNA Expression z-Scores relative to diploid samples (RNA-Seq V2 RSEM),mRNA z-Scores (RNA-Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
blca_tcga_pub_2017,blca_tcga_pub_2017_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA-Seq V2 RSEM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA-Seq V2 RSEM).,Z-SCORE
brca_tcga_pub2015,brca_tcga_pub2015_mrna,mRNA expression (microarray),Expression levels for 17157 genes in 590 brca cases (Agilent microarray).,CONTINUOUS
brca_tcga_pub2015,brca_tcga_pub2015_mrna_median_Zscores,mRNA expression z-Scores relative to diploid samples (microarray),mRNA z-Scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
brca_tcga_pub2015,brca_tcga_pub2015_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
brca_tcga_pub2015,brca_tcga_pub2015_rna_seq_v2_mrna_median_Zscores,mRNA expression z-Scores relative to diploid samples (RNA Seq V2 RSEM),mRNA z-Scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
brca_tcga_pub2015,brca_tcga_pub2015_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA z-Scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
brca_tcga_pub2015,brca_tcga_pub2015_mrna_median_all_sample_Zscores,mRNA expression z-Scores relative to all samples (log microarray),Log-transformed mRNA z-Scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
esca_tcga,esca_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
esca_tcga,esca_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
esca_tcga,esca_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
gbm_tcga,gbm_tcga_mrna_U133,mRNA expression (U133 microarray only),mRNA expression data from the Affymetrix U133 microarray.,CONTINUOUS
gbm_tcga,gbm_tcga_mrna_U133_Zscores,mRNA expression z-scores relative to diploid samples (U133 microarray only),mRNA expression z-scores (U133 microarray only) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
gbm_tcga,gbm_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 411 gbm cases (Agilent microarray).,CONTINUOUS
gbm_tcga,gbm_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
gbm_tcga,gbm_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
gbm_tcga,gbm_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
gbm_tcga,gbm_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
gbm_tcga,gbm_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
gbm_tcga,gbm_tcga_mrna_U133_all_sample_Zscores,mRNA expression z-scores relative to all samples (U133 microarray only),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (U133 microarray only).,Z-SCORE
lgg_tcga,lgg_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 27 difg cases (Agilent microarray).,CONTINUOUS
lgg_tcga,lgg_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lgg_tcga,lgg_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
lgg_tcga,lgg_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lgg_tcga,lgg_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
lgg_tcga,lgg_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
hnsc_tcga,hnsc_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
hnsc_tcga,hnsc_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
hnsc_tcga,hnsc_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
kirp_tcga,kirp_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 16 prcc cases (Agilent microarray).,CONTINUOUS
kirp_tcga,kirp_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
kirp_tcga,kirp_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
kirp_tcga,kirp_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
kirp_tcga,kirp_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
kirp_tcga,kirp_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
lihc_tcga,lihc_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
lihc_tcga,lihc_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lihc_tcga,lihc_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
luad_tcga,luad_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 32 luad cases (Agilent microarray).,CONTINUOUS
luad_tcga,luad_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
luad_tcga,luad_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
luad_tcga,luad_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
luad_tcga,luad_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
luad_tcga,luad_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
lusc_tcga,lusc_tcga_mrna_U133,mRNA expression (U133 microarray only),mRNA expression data from the Affymetrix U133 microarray.,CONTINUOUS
lusc_tcga,lusc_tcga_mrna_U133_Zscores,mRNA expression z-scores relative to diploid samples (U133 microarray only),mRNA expression z-scores (U133 microarray only) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lusc_tcga,lusc_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 154 lusc cases (Agilent microarray).,CONTINUOUS
lusc_tcga,lusc_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lusc_tcga,lusc_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
lusc_tcga,lusc_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
lusc_tcga,lusc_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
lusc_tcga,lusc_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
lusc_tcga,lusc_tcga_mrna_U133_all_sample_Zscores,mRNA expression z-scores relative to all samples (U133 microarray only),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (U133 microarray only).,Z-SCORE
ov_tcga,ov_tcga_mrna_U133,mRNA expression (U133 microarray only),mRNA expression data from the Affymetrix U133 microarray.,CONTINUOUS
ov_tcga,ov_tcga_mrna_U133_Zscores,mRNA expression z-scores relative to diploid samples (U133 microarray only),mRNA expression z-scores (U133 microarray only) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ov_tcga,ov_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 561 hgsoc cases (Agilent microarray).,CONTINUOUS
ov_tcga,ov_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ov_tcga,ov_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
ov_tcga,ov_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ov_tcga,ov_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
ov_tcga,ov_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
ov_tcga,ov_tcga_mrna_U133_all_sample_Zscores,mRNA expression z-scores relative to all samples (U133 microarray only),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (U133 microarray only).,Z-SCORE
thym_tcga,thym_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
thym_tcga,thym_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
thym_tcga,thym_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
thca_tcga,thca_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
thca_tcga,thca_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
thca_tcga,thca_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
ucec_tcga,ucec_tcga_mrna,mRNA expression (microarray),Expression levels for 17155 genes in 54 ucec cases (Agilent microarray).,CONTINUOUS
ucec_tcga,ucec_tcga_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (microarray),mRNA expression z-scores (Agilent microarray) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ucec_tcga,ucec_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
ucec_tcga,ucec_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
ucec_tcga,ucec_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
ucec_tcga,ucec_tcga_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (microarray),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples  (Agilent microarray).,Z-SCORE
uvm_tcga,uvm_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
uvm_tcga,uvm_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
uvm_tcga,uvm_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
skcm_tcga,skcm_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
skcm_tcga,skcm_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
skcm_tcga,skcm_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
paad_tcga,paad_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
paad_tcga,paad_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
paad_tcga,paad_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
prad_tcga,prad_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
prad_tcga,prad_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
prad_tcga,prad_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
sarc_tcga,sarc_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
sarc_tcga,sarc_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
sarc_tcga,sarc_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
stad_tcga,stad_tcga_rna_seq_mrna,mRNA expression (RNA Seq RPKM),Expression levels for 29699 genes in 36 stad cases (RNA Seq RPKM).,CONTINUOUS
stad_tcga,stad_tcga_rna_seq_mrna_median_Zscores,mRNA Expression z-scores relative to diploid samples (RNA Seq RPKM),mRNA z-scores (RNA Seq RPKM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
stad_tcga,stad_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
stad_tcga,stad_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
stad_tcga,stad_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
stad_tcga,stad_tcga_rna_seq_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (RNA Seq RPKM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq RPKM).,Z-SCORE
tgct_tcga,tgct_tcga_rna_seq_v2_mrna,mRNA expression (RNA Seq V2 RSEM),mRNA gene expression (RNA Seq V2 RSEM),CONTINUOUS
tgct_tcga,tgct_tcga_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
tgct_tcga,tgct_tcga_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
acc_tcga_pan_can_atlas_2018,acc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
acc_tcga_pan_can_atlas_2018,acc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
acc_tcga_pan_can_atlas_2018,acc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
blca_tcga_pan_can_atlas_2018,blca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
blca_tcga_pan_can_atlas_2018,blca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
blca_tcga_pan_can_atlas_2018,blca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
brca_tcga_pan_can_atlas_2018,brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
brca_tcga_pan_can_atlas_2018,brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
brca_tcga_pan_can_atlas_2018,brca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
cesc_tcga_pan_can_atlas_2018,cesc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
cesc_tcga_pan_can_atlas_2018,cesc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
cesc_tcga_pan_can_atlas_2018,cesc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
coadread_tcga_pan_can_atlas_2018,coadread_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
coadread_tcga_pan_can_atlas_2018,coadread_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
coadread_tcga_pan_can_atlas_2018,coadread_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
chol_tcga_pan_can_atlas_2018,chol_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
chol_tcga_pan_can_atlas_2018,chol_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
chol_tcga_pan_can_atlas_2018,chol_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
dlbc_tcga_pan_can_atlas_2018,dlbc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
dlbc_tcga_pan_can_atlas_2018,dlbc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_Zscores,mRNA expression z-scores relative to diploid samples (RNA Seq V2 RSEM),mRNA expression z-scores (RNA Seq V2 RSEM) compared to the expression distribution of each gene tumors that are diploid for this gene.,Z-SCORE
dlbc_tcga_pan_can_atlas_2018,dlbc_tcga_pan_can_atlas_2018_rna_seq_v2_mrna_median_all_sample_Zscores,mRNA expression z-scores relative to all samples (log RNA Seq V2 RSEM),Log-transformed mRNA expression z-scores compared to the expression distribution of all samples (RNA Seq V2 RSEM).,Z-SCORE
esca_tcga_pan_can_atlas_2018,esca_tcga_pan_can_atlas_2018_rna_seq_v2_mrna,"mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)","mRNA Expression, RSEM (Batch normalized from Illumina HiSeq_RNASeqV2)",CONTINUOUS
